case_name,seed,method_name,utility_type,w,a,k0,revenue,offline_revenue,revenue_ratio,runtime_sec,accept_rate,accepted_count,n,m,inventory_total,inventory_used_total,inventory_utilization,resource_used,resource_left,update_points
case_standard,420,Approach2.2,log,10.0,,50,18938.33176546035,19722.894011688142,0.9602207340483173,0.6310131549835205,0.34251256281407033,3408,10000,10,10000.0,9568.0,0.9568,"[951.0, 963.0, 940.0, 953.0, 915.0, 958.0, 984.0, 937.0, 967.0, 1000.0]","[49.0, 37.0, 60.0, 47.0, 85.0, 42.0, 16.0, 63.0, 33.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_standard,420,Approach2.2,log,20.0,,50,18299.600730281814,19722.894011688142,0.9278354748262168,0.5155270099639893,0.33195979899497485,3303,10000,10,10000.0,9205.0,0.9205,"[893.0, 905.0, 893.0, 925.0, 883.0, 929.0, 952.0, 897.0, 949.0, 979.0]","[107.0, 95.0, 107.0, 75.0, 117.0, 71.0, 48.0, 103.0, 51.0, 21.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_standard,420,Approach2.2,exp,1.0,0.01,50,19369.610679513244,19722.894011688142,0.9820876524527518,0.4758157730102539,0.348643216080402,3469,10000,10,10000.0,9833.0,0.9833,"[1000.0, 1000.0, 977.0, 987.0, 944.0, 978.0, 1000.0, 952.0, 995.0, 1000.0]","[0.0, 0.0, 23.0, 13.0, 56.0, 22.0, 0.0, 48.0, 5.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_standard,420,Approach2.2,exp,1.0,0.05,50,19369.610679513244,19722.894011688142,0.9820876524527518,0.4636099338531494,0.348643216080402,3469,10000,10,10000.0,9833.0,0.9833,"[1000.0, 1000.0, 977.0, 987.0, 944.0, 978.0, 1000.0, 952.0, 995.0, 1000.0]","[0.0, 0.0, 23.0, 13.0, 56.0, 22.0, 0.0, 48.0, 5.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_standard,420,Approach2.2,exp,1.0,0.1,50,19362.935585223662,19722.894011688142,0.9817492084959153,0.4726438522338867,0.34854271356783917,3468,10000,10,10000.0,9830.0,0.983,"[1000.0, 1000.0, 977.0, 986.0, 944.0, 978.0, 1000.0, 951.0, 994.0, 1000.0]","[0.0, 0.0, 23.0, 14.0, 56.0, 22.0, 0.0, 49.0, 6.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_standard,420,Approach2.2,exp,5.0,0.01,50,19370.186886380274,19722.894011688142,0.9821168675804449,0.5410041809082031,0.3487437185929648,3470,10000,10,10000.0,9834.0,0.9834,"[1000.0, 1000.0, 978.0, 987.0, 945.0, 978.0, 1000.0, 952.0, 994.0, 1000.0]","[0.0, 0.0, 22.0, 13.0, 55.0, 22.0, 0.0, 48.0, 6.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_standard,420,Approach2.2,exp,5.0,0.05,50,19366.436273509407,19722.894011688142,0.9819267021377547,0.5099420547485352,0.3487437185929648,3470,10000,10,10000.0,9833.0,0.9833,"[1000.0, 1000.0, 979.0, 988.0, 944.0, 978.0, 1000.0, 951.0, 993.0, 1000.0]","[0.0, 0.0, 21.0, 12.0, 56.0, 22.0, 0.0, 49.0, 7.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_standard,420,Approach2.2,exp,5.0,0.1,50,19366.436273509407,19722.894011688142,0.9819267021377547,0.5118241310119629,0.3487437185929648,3470,10000,10,10000.0,9833.0,0.9833,"[1000.0, 1000.0, 979.0, 988.0, 944.0, 978.0, 1000.0, 951.0, 993.0, 1000.0]","[0.0, 0.0, 21.0, 12.0, 56.0, 22.0, 0.0, 49.0, 7.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_standard,420,Approach2.2,exp,10.0,0.01,50,19368.886939676868,19722.894011688142,0.982050957034932,0.5453381538391113,0.34884422110552765,3471,10000,10,10000.0,9834.0,0.9834,"[1000.0, 1000.0, 979.0, 988.0, 945.0, 977.0, 1000.0, 952.0, 993.0, 1000.0]","[0.0, 0.0, 21.0, 12.0, 55.0, 23.0, 0.0, 48.0, 7.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_standard,420,Approach2.2,exp,10.0,0.05,50,19370.37957055043,19722.894011688142,0.9821266371492539,0.5018620491027832,0.34884422110552765,3471,10000,10,10000.0,9835.0,0.9835,"[1000.0, 1000.0, 980.0, 988.0, 945.0, 977.0, 1000.0, 952.0, 993.0, 1000.0]","[0.0, 0.0, 20.0, 12.0, 55.0, 23.0, 0.0, 48.0, 7.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
